empresa,anio,ingresos_acumulados,gastos_acumulados,ebitda,margen_bruto,resultado_ejercicio,contribuciones,patente_municipal,ingresos_financieros,deuda_total,debitos_acumulados,creditos_acumulados,saldo_deudor,saldo_acreedor,inventario_activo,inventario_pasivo,resultado_perdida,resultado_ganancia,analisis_saldo_cuenta_total,resultado_ejercicio_balance,total_general_saldo_cuenta,ratio_deuda_total_sobre_ebitda,crecimiento_pct_ingresos_acumulados_vs_anio_anterior,crecimiento_pct_gastos_acumulados_vs_anio_anterior,crecimiento_pct_ebitda_vs_anio_anterior,crecimiento_pct_margen_bruto_vs_anio_anterior,crecimiento_pct_resultado_ejercicio_vs_anio_anterior,crecimiento_pct_contribuciones_vs_anio_anterior,crecimiento_pct_patente_municipal_vs_anio_anterior,crecimiento_pct_ingresos_financieros_vs_anio_anterior,crecimiento_pct_deuda_total_vs_anio_anterior,crecimiento_pct_debitos_acumulados_vs_anio_anterior,crecimiento_pct_creditos_acumulados_vs_anio_anterior,crecimiento_pct_saldo_deudor_vs_anio_anterior,crecimiento_pct_saldo_acreedor_vs_anio_anterior,crecimiento_pct_inventario_activo_vs_anio_anterior,crecimiento_pct_inventario_pasivo_vs_anio_anterior,crecimiento_pct_resultado_perdida_vs_anio_anterior,crecimiento_pct_resultado_ganancia_vs_anio_anterior,crecimiento_pct_analisis_saldo_cuenta_total_vs_anio_anterior,crecimiento_pct_resultado_ejercicio_balance_vs_anio_anterior,crecimiento_pct_total_general_saldo_cuenta_vs_anio_anterior,crecimiento_pct_ratio_deuda_sobre_ebitda_vs_anio_anterior
CTERGSPA,2025,0.0,-6289835.0,-6280635.0,0.0,-6289835.0,0.0,0.0,0.0,0.0,2281903742.0,2281903742.0,404126500.0,404126500.0,17569689.0,24730935.0,386556811.0,379395565.0,30019614.0,-7161246.0,30019614.0,,,,,,,,,,,,,,,,,,,,,,
CTERGSPA,2026,0.0,-4719764.0,-4719764.0,0.0,-4719764.0,0.0,0.0,0.0,0.0,1299168653.0,1299168653.0,324106705.0,324106705.0,61340865.0,68707867.0,262765840.0,255398838.0,8001792.0,-7367002.0,8001792.0,,,0.2496203795489071,0.24852120844468753,,0.2496203795489071,,,,,-0.4306645678834248,-0.4306645678834248,-0.19800679985103675,-0.19800679985103675,2.491289174213613,1.7782155021635857,-0.320240046164909,-0.32682703341563835,-0.7334478717814293,-0.028731871520682295,-0.7334478717814293,
FIDELMIRA,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18713442486.0,80833961119.0,80833961119.0,71270749190.0,71270749190.0,71270749190.0,71270749190.0,0.0,0.0,137969790046.0,0.0,137969790046.0,,,,,,,,,,,,,,,,,,,,,,
FIDELMIRA,2014,5157020028.0,-2169491114.0,3690928420.0,3665291381.0,2987528914.0,-133903945.0,0.0,376917564.0,17234416953.0,428866891709.0,428866891709.0,106928621342.0,106928621342.0,101022391446.0,97813305830.0,5906229896.0,9115315512.0,195966083506.0,3209085616.0,195966083506.0,4.66939885900036,,,,,,,,,-0.07903545988967538,4.305528589371516,4.305528589371516,0.5003156632595516,0.5003156632595516,0.41744534180053844,0.3724186562041105,,,0.4203550171429823,,0.4203550171429823,
FIDELMIRA,2015,5757444449.0,-3277159855.0,4066397667.0,4165041402.0,2480284594.0,-352025975.0,0.0,270289080.0,15577975863.0,203461099259.0,203461099259.0,106939486444.0,106939486444.0,100883940870.0,98459040678.0,6055545574.0,8480445766.0,194619035490.0,2424900192.0,194619035490.0,3.8309032068899227,0.11642856101779715,-0.5105661571287726,0.10172758836650644,0.1363466008706935,-0.1697872504674276,-1.628944016548579,,-0.2828960339985642,-0.09611239501268204,-0.5255845037414199,-0.5255845037414199,0.00010161079291623062,0.00010161079291623062,-0.0013704939471167307,0.0066017076359967865,0.02528104740743739,-0.06964868579307165,-0.006873883438910268,-0.24436413291380382,-0.006873883438910268,-0.17957250546164416
FIDELMIRA,2016,7982661065.0,-3747554623.0,5654526089.0,4242198861.0,4235106442.0,-444120209.0,0.0,1785180704.0,14117324373.0,205503568829.0,205503568829.0,112306148489.0,112306148489.0,106135874189.0,101987694325.0,6170274300.0,10318454164.0,198604329174.0,4148179864.0,198604329174.0,2.496641478136082,0.38649380566520164,-0.14353732769010744,0.3905492162972953,0.018525016092985288,0.7075082642713862,-0.26161204155460405,,5.6047089434763695,-0.09376388196038124,0.010038624471403235,0.010038624471403235,0.0501841015274588,0.0501841015274588,0.052059160989435284,0.03583879776505332,0.018946059376152256,0.21673488030180985,0.020477409488573763,0.7106600418793649,0.020477409488573763,-0.34828907354123584
FIDELMIRA,2017,6895400436.0,-3877449304.0,4507940081.0,4281402106.0,3017951132.0,-470950819.0,-8654597.0,603289737.0,12591311300.0,209636404668.0,209636404668.0,113567839154.0,113567839154.0,107668301427.0,104090187005.0,5899537727.0,9477652149.0,200627287636.0,3578114422.0,200627287636.0,2.7931407857592596,-0.13620278001869543,-0.034661184176687586,-0.2027731395970574,0.00924125584031644,-0.28739662784607767,-0.060412945541057333,,-0.6620567678956942,-0.10809506339023893,0.02011077404908205,0.02011077404908205,0.011234386380221902,0.011234386380221902,0.014438353193107462,0.020615160426120358,-0.04387755873349099,-0.08148526917272839,0.010185872938487953,-0.13742543975667879,0.010185872938487953,0.1187592652848718
FIDELMIRA,2018,6963731941.0,-4234037595.0,3877108217.0,3954431521.0,2729694346.0,-596892810.0,-73693917.0,326421960.0,11000515330.0,244839860450.0,244839860450.0,129087997187.0,129087997187.0,122867782432.0,119766946585.0,6220214755.0,9321050602.0,235002090576.0,3100835847.0,235002090576.0,2.837299016252865,0.009909722522168544,-0.09196465589689112,-0.13993794342094762,-0.07636997808306305,-0.09551406679304707,-0.2674206858105071,-7.515002720519512,-0.4589300298340729,-0.12634077040093514,0.16792625230217775,0.16792625230217775,0.13665979865967504,0.13665979865967504,0.14116950674944356,0.15060746868719682,0.05435629753368301,-0.016523242733330664,0.1713366279584387,-0.13338829302535926,0.1713366279584387,0.015809525505747796
FIDELMIRA,2019,7412286236.0,-5586043158.0,3475466809.0,3601190321.0,1826243078.0,-716835212.0,-52350799.0,339979167.0,9605624358.0,258349329797.0,258349329797.0,143948317839.0,143948317839.0,136276959427.0,134468323400.0,7671358412.0,9479994439.0,260012431802.0,1808636027.0,260012431802.0,2.763837172354938,0.06441291807329205,-0.3193182707202674,-0.10359303520054416,-0.0893279345271535,-0.33097158636969237,-0.20094462521671186,0.28961844978331114,0.04153276636167493,-0.12680232972322034,0.05517675644059942,0.05517675644059942,0.1151177566917626,0.1151177566917626,0.10913501269074487,0.1227498674232816,0.2332947838872486,0.01705213755259474,0.10642603716715286,-0.41672629050976007,0.10642603716715286,-0.0258914705419191
FIDELMIRA,2020,8001674860.0,-6001595692.0,3938786358.0,3627051066.0,2000079168.0,-801998378.0,0.0,795440891.0,8275976859.0,292440697055.0,292440697055.0,155688019031.0,155688019031.0,147107827526.0,144707785797.0,8580191505.0,10980233234.0,279699965224.0,2400041729.0,279699965224.0,2.1011489598035213,0.07951509227172808,-0.07439121436161307,0.13331145842054853,0.007181165863185713,0.09518781595622837,-0.118804384291323,1.0,1.339675392521919,-0.1384238493453691,0.13195841183248883,0.13195841183248883,0.0815549731197995,0.0815549731197995,0.079476884020162,0.07614776579418554,0.11847094662900232,0.15825313027907778,0.07571766198083982,0.3269898935834921,0.07571766198083982,-0.23977107594466956
FIDELMIRA,2021,29581882688.0,-23985230987.0,24686425469.0,3762055918.0,5596651701.0,-982363324.0,0.0,21552098955.0,32361806547.0,398883180254.0,398883180254.0,197829482355.0,197829482355.0,167630467085.0,161947877305.0,30199015270.0,35881605050.0,318836855036.0,5682589780.0,318836855036.0,1.3109150446928157,2.69696134941429,-2.996475640465386,5.267520811038617,0.037221657358380296,1.7982150859540376,-0.2248944024672329,,26.09453235161882,2.91033071966689,0.36397972057555694,0.36397972057555694,0.2706789102095837,0.2706789102095837,0.13950746132372055,0.11913727663682773,2.519620191740697,2.267836327819847,0.13992454300327462,1.3677045741899265,0.13992454300327462,-0.3760960932463353
FIDELMIRA,2022,10068140665.0,3497117126.0,3976173603.0,4201450067.0,13565257791.0,-1211718069.0,-174317300.0,754725256.0,29598682397.0,339718688755.0,339718688755.0,193744938358.0,193744938358.0,184633621069.0,170856735823.0,9111317289.0,22888202535.0,335560042194.0,13776885246.0,335560042194.0,7.444011593122585,-0.659651795283328,1.1458029371447553,-0.8389327929232572,0.11679628335604128,1.423816688213094,-0.23347242247003921,,-0.9649813571487473,-0.0853822590524121,-0.1483253604760305,-0.1483253604760305,-0.02064679110705243,-0.02064679110705243,0.10143236059455857,0.05501065321913266,-0.6982909142056936,-0.36211876522508013,0.05245060881092864,1.4244025663242579,0.05245060881092864,4.678485133921799
FIDELMIRA,2023,11531935874.0,-10281128855.0,1345534307.0,2130007919.0,1250807019.0,-1564801779.0,-309861407.0,358913325.0,32446782228.0,334470645765.0,334470645765.0,204368673015.0,204368673015.0,192492371051.0,191232627340.0,11876301964.0,13136045675.0,359079380572.0,1259743711.0,359079380572.0,24.11442209923526,0.14538883173221934,-3.9398869081515575,-0.6616007143187103,-0.4930302907250998,-0.907793346925566,-0.2913909753705257,-0.777571170503444,-0.5244450584544901,0.09622387215752116,-0.015448202185263965,-0.015448202185263965,0.054833611381214856,0.054833611381214856,0.0425640245611772,0.11925717425684944,0.3034670605026715,-0.42607788204806707,0.07008980635543781,-0.90856106525488,0.07008980635543781,2.239439084366046
FIDELMIRA,2024,14188781603.0,-12944378320.0,4353832269.0,5164358951.0,1244403283.0,-1593789054.0,-223657559.0,414086784.0,35554670578.0,400119020243.0,400119020243.0,155630472529.0,155630472529.0,142385987354.0,141141584071.0,13244485175.0,14488888458.0,257259548166.0,1244403283.0,257259548166.0,8.166293137003713,0.23039026214064776,-0.2590425139652624,2.2357645928087067,1.4245726529620475,-0.005119683454542559,-0.018524566746418558,0.2782013056566286,0.1537236295141731,0.09578417755453245,0.19627544392677357,0.19627544392677357,-0.23848175831930354,-0.23848175831930354,-0.26030321837390913,-0.2619377454870249,0.1152027975667258,0.10298706448430493,-0.2835580039260534,-0.012177419792651778,-0.2835580039260534,-0.6613523184010829
FIDELMIRA,2025,19393545058.0,-20950256927.0,111438436.0,-3607194552.0,-1556711869.0,-1845795102.0,-218084726.0,5605702233.0,34295809975.0,347855728928.0,347855728928.0,156758966334.0,156758966334.0,135077922480.0,136634634349.0,21681043854.0,20124331985.0,240212302376.0,-1556711869.0,240212302376.0,307.75566497541297,0.36682243765733435,-0.6184830517994316,-0.9744045178787755,-1.6984786662246862,-2.2509705577496457,-0.15811756729507567,0.024916810435188556,12.537505782845752,-0.035406335722849853,-0.1306193624168616,-0.1306193624168616,0.007251110831072737,0.007251110831072737,-0.05132573092203723,-0.03193211803356848,0.6369865319434735,0.3889493347495822,-0.06626477388897553,-2.2509705577496457,-0.06626477388897553,36.68609083855779
FIDELMIRA,2026,4519373896.0,-3055651280.0,1659142017.0,2089126109.0,1463722616.0,-279507967.0,-104295359.0,72216367.0,32913971930.0,239792202474.0,239792202474.0,111987379283.0,111987379283.0,108654843843.0,107191121227.0,3332535440.0,4796258056.0,191563811870.0,1463722616.0,191563811870.0,19.83794732021424,-0.7669650452001441,0.8541473123385911,13.888418005076812,1.5791553737631616,1.940265597730854,0.8485704254512644,0.521766788014306,-0.9871173380250431,-0.04029174543500485,-0.31065616422941605,-0.31065616422941605,-0.2856078226211762,-0.2856078226211762,-0.19561359955704288,-0.2154908472678581,-0.8462926664213554,-0.7616687073352313,-0.20252289339390867,1.940265597730854,-0.20252289339390867,-0.9355399442548064
INEWASPA,2025,0.0,-1280456.0,-1280456.0,-1280456.0,-1280456.0,0.0,0.0,0.0,0.0,4193634441.0,4193634441.0,2126470575.0,2126470575.0,2108262559.0,2126244428.0,18208016.0,226147.0,4216525118.0,-17981869.0,4216525118.0,,,,,,,,,,,,,,,,,,,,,,
INEWASPA,2026,0.0,-695179.0,-695179.0,-695179.0,-695179.0,0.0,0.0,0.0,0.0,5748973478.0,5748973478.0,2780091719.0,2780091719.0,2763192744.0,2779877622.0,16898975.0,214097.0,5490421750.0,-16684878.0,5490421750.0,,,0.45708481978295235,0.45708481978295235,0.45708481978295235,0.45708481978295235,,,,,0.3708809289130883,0.3708809289130883,0.3073737072519802,0.3073737072519802,0.31064925106417923,0.30741206673723026,-0.07189366485618202,-0.05328392594197579,0.3021200150241818,0.07212770819318058,0.3021200150241818,
STAFIDEL2,2021,0.0,-48033.06999999999,0.0,0.0,-48033.06999999999,0.0,0.0,0.0,0.0,3722596.55,3722596.5500000003,2840358.82,2840358.82,2791656.2,2713051.19,48702.619999999995,127307.63000000003,5583312.4,78605.01000000004,5583312.4,,,,,,,,,,,,,,,,,,,,,,
STAFIDEL2,2022,143693.69999999998,323255.08999999997,143693.69999999998,0.0,466948.7899999999,0.0,0.0,143693.69999999998,0.0,6837867.929999999,6837867.93,4997839.92,4997839.92,4997839.92,4440534.39,0.0,557305.53,9995679.84,557305.53,9995679.84,0.0,,7.7298444592444335,,,10.721402150643296,,,,,0.8368544208745906,0.8368544208745906,0.7595804744134406,0.7595804744134406,0.7902777283248559,0.636730779856756,-1.0,3.377628662162668,0.7902777283248559,6.089949228427041,0.7902777283248559,
STAFIDEL2,2023,0.0,-43220.999999999985,0.0,0.0,-43220.999999999985,0.0,0.0,0.0,0.0,6042678.640000001,6042678.640000001,5377332.94,5377332.94,5298174.29,5304654.12,79158.65,72678.82,10596348.58,-6479.829999999987,10596348.58,,-1.0,-1.1337055512412813,-1.0,,-1.0925604711386017,,,-1.0,,-0.11629199308036332,-0.11629199308036345,0.07593140758297846,0.07593140758297846,0.060092835066233995,0.19459813934691778,,-0.8695889129253751,0.060092835066233995,-1.0116270692666551,0.060092835066233995,
STAFIDEL2,2024,31807.36,67199.75000000001,31807.36,0.0,99007.11000000002,0.0,0.0,31807.36,0.0,7602672.239999998,7602672.24,5725488.82,5725488.82,5725488.82,5555542.2299999995,0.0,169946.59000000005,11450977.6,169946.59000000005,11450977.6,0.0,,2.554793965896209,,,3.2907177066703692,,,,,0.258162595255934,0.25816259525593427,0.06474508532105135,0.06474508532105135,0.08065316590406094,0.047295847066462345,-1.0,1.3383234620485038,0.08065316212917559,27.227013671655026,0.08065316212917559,
STAFIDEL2,2025,1863.6,-74012.11999999998,-12548.300000000001,-14411.900000000001,-72148.52,0.0,-14411.900000000001,1863.6,0.0,6489806.930000001,6489806.930000001,5836995.880000001,5836995.88,5745890.89,5765360.57,91104.98999999998,71635.31,11491781.780000001,-19469.67999999998,11491781.780000001,,-0.9414097869172419,-2.1013749307103073,-1.394509321113101,,-1.7287205939048214,,,-0.9414097869172419,,-0.14637817794444313,-0.14637817794444333,0.01947555283148741,0.019475552831487247,0.003563376096156514,0.03776739178886609,,-0.5784833929295082,0.003563379601755711,-1.1145635225749453,0.003563379601755711,
STAFIDEL2,2026,33546.79,-140953.25,29147.77,-4399.02,-107406.45999999999,0.0,-4399.02,33546.79,0.0,5984707.089999998,5984707.090000001,5779384.01,5779384.01,5638263.24,5744908.47,141120.77,34475.54,11276526.44,-106645.22999999998,11276526.44,0.0,17.001067825713676,-0.9044617287006511,3.3228461225823414,0.6947647430248614,-0.48868556139474495,,0.6947647430248614,17.001067825713676,,-0.07782971750131903,-0.0778297175013186,-0.00987012346494941,-0.009870123464949252,-0.01873123803783184,-0.003547410392061664,0.5489905657198363,-0.5187353834303222,-0.018731241518580393,-4.477502968718546,-0.018731241518580393,
WCORP2,2026,7946638.0,-5938952.0,2007686.0,2007686.0,2007686.0,-2677148.0,0.0,0.0,0.0,1336892844.0,1336892844.0,1310129578.0,1310129578.0,1300219390.0,1302182940.0,9910188.0,7946638.0,2311796902.0,-1963550.0,2311796902.0,0.0,,,,,,,,,,,,,,,,,,,,,
